source,target,throughput_kbps,mean_hops,packets
SEA,CMI,2.278627862786279,5.393258426966292,890
PAO,HOU,2.4296829682968295,5.338250790305585,949
SEA,SAN,2.5679367936793684,4.994017946161516,1003
PAO,SAN,2.626822682268227,4.673489278752436,1026
SEA,ATL,1.3404349044892077,7.491395793499044,523
SEA,HOU,2.532093209320932,5.356926188068757,989
PAO,PIT,2.2215193674306892,6.023068050749711,867
PAO,SEA,2.6626662666266627,5.096153846153846,1040
SEA,ARB,1.9051734485655993,7.059139784946237,744
SEA,BOU,2.2737668475757533,6.267192784667419,887
PAO,BOU,2.376801109302466,6.228354978354979,924
SEA,SLC,2.357995799579958,5.7774158523344195,921
SEA,PAO,2.6729072907290727,5.189655172413793,1044
PAO,CMI,2.286308630863086,5.911534154535274,893
PAO,ATL,1.37924392005779,7.443202979515829,537
SEA,PIT,2.293263937543791,5.806703910614525,895
PAO,SLC,2.268205364107285,5.072234762979684,886
PAO,ARB,2.0686868686868687,6.311881188118812,808
SAN,SEA,2.6703470347034703,5.360498561840844,1043
SAN,HOU,2.4424842484248424,4.90356394129979,954
SAN,ATL,1.4980194454447253,7.292307692307692,585
SAN,PIT,2.296171442330846,5.991051454138702,894
SAN,BOU,2.321449304373938,6.620309050772627,906
SAN,ARB,2.058816468611212,6.916666666666667,804
SAN,PAO,2.7599559955995603,5.255102040816326,1078
SAN,SLC,2.2735073507350734,5.862612612612613,888
HOU,SEA,2.110959891121608,5.271844660194175,824
SAN,CMI,2.278627862786278,6.01123595505618,890
HOU,PAO,2.224458297420273,5.373702422145329,867
HOU,ATL,1.6795279527952796,3.5076219512195124,656
HOU,PIT,3.1755236073845667,4.5875706214689265,1239
HOU,SAN,2.1864586458645867,4.67096018735363,854
HOU,CMI,2.5413497718357227,5.267137096774194,992
HOU,BOU,2.493689368936894,4.620123203285421,974
HOU,SLC,2.847517304845357,5.180755395683454,1112
HOU,ARB,2.3055438680851927,5.43047830923248,899
ATL,SEA,1.868257718335805,7.994513031550069,729
ATL,SAN,1.8892419062939885,8.079019073569482,734
ATL,SLC,1.905516537607301,6.952956989247312,744
ATL,CMI,1.9786151936246048,7.007772020725389,772
ATL,PAO,1.8645376873361763,7.868131868131868,728
ATL,BOU,1.922229786552401,7.281333333333333,750
ATL,HOU,1.9406740674067406,4.03957783641161,758
PIT,SAN,1.9499288420293053,5.813157894736842,760
ATL,ARB,1.925659184571681,7.121010638297872,752
PIT,PAO,1.824033303978865,6.001404494382022,712
PIT,SEA,1.9504224900885028,5.747700394218134,761
ATL,PIT,1.9662766276627666,4.48828125,768
PIT,HOU,3.2765991513890014,4.655199374511337,1279
PIT,ATL,1.7435343534353436,4.058737151248164,681
PIT,CMI,2.2171817181718176,4.691685912240184,866
PIT,BOU,2.199655903653024,5.594877764842841,859
PIT,SLC,2.4682558792840523,5.530697190426639,961
PIT,ARB,2.6549854985498538,4.918997107039537,1037
CMI,SAN,2.0981924572161446,5.871638141809291,818
CMI,SEA,2.1173317331733172,5.106408706166868,827
CMI,HOU,2.5453526987556527,5.105633802816901,994
CMI,ATL,1.6004481254751337,6.824,625
CMI,SLC,2.2764774136758303,5.889763779527559,889
CMI,BOU,2.468143045933283,5.4060228452751815,963
CMI,ARB,2.027677087296979,6.415929203539823,791
CMI,PIT,2.3400740074007405,4.794310722100657,914
CMI,PAO,2.1228343936302174,6.051869722557298,829
BOU,SEA,2.132393576548796,6.206730769230769,832
BOU,PAO,2.1070907090709063,6.142162818955042,823
BOU,SAN,2.1442638699863896,6.342891278375149,837
BOU,ATL,1.5198430179007651,6.915682967959528,593
BOU,CMI,2.386127908373714,5.28141783029001,931
BOU,HOU,2.5090509050905094,4.558163265306122,980
BOU,PIT,2.483968517813872,5.618163054695563,969
BOU,ARB,2.209500950095009,6.178447276940904,863
BOU,SLC,2.352875287528753,4.857453754080522,919
SLC,SEA,2.201593848864683,6.193247962747381,859
SLC,SAN,2.241613962052679,6.217142857142857,875
SLC,PAO,2.1506150615061506,5.147619047619048,840
SLC,ATL,1.3341618392832089,6.8307692307692305,520
SLC,CMI,2.4966990757412084,5.975384615384615,975
SLC,HOU,2.7809386628255925,5.139963167587477,1086
SLC,BOU,2.468086808680868,5.238589211618257,964
SLC,PIT,2.523531886758431,5.6310975609756095,984
SLC,ARB,2.1813381338133815,5.14906103286385,852
ARB,PAO,1.9376076248448202,6.642857142857143,756
ARB,HOU,2.7356782309109877,5.635426429240862,1067
ARB,SAN,1.9239452405732134,6.8828229027962715,751
ARB,SEA,1.9490693434313082,6.818421052631579,760
ARB,PIT,2.809018461415242,5.035583941605839,1096
ARB,ATL,1.5702058570025461,7.106209150326797,612
ARB,CMI,2.1801296933792336,6.551116333725029,851
ARB,SLC,2.322152215221522,5.43329658213892,907
ARB,BOU,2.2402240224022405,6.238857142857142,875
