source,target,r_min_hops,r_max_hops,r_mean_hops,r_q1_hops,r_q2_hops,r_q3_hops,r_min_hops_rev,r_max_hops_rev,r_mean_hops_rev,r_q1_hops_rev,r_q2_hops_rev,r_q3_hops_rev,nb_min_hops,nb_max_hops,nb_mean_hops,nb_q1_hops,nb_q2_hops,nb_q3_hops,nb_min_hops_rev,nb_max_hops_rev,nb_mean_hops_rev,nb_q1_hops_rev,nb_q2_hops_rev,nb_q3_hops_rev,lrv_min_hops,lrv_max_hops,lrv_mean_hops,lrv_q1_hops,lrv_q2_hops,lrv_q3_hops,lrv_min_hops_rev,lrv_max_hops_rev,lrv_mean_hops_rev,lrv_q1_hops_rev,lrv_q2_hops_rev,lrv_q3_hops_rev
SIE,STP,2,18,3.159,2,3,4,2,26,3.967,2,3,5,2,12,2.994,2,3,3,2,16,3.512,2,3,4,2,6,3.294,2,3,4,2,6,3.383,2,3,4
ERD,SIE,1,14,2.004,1,1,2,1,15,1.999,1,1,2,1,6,2.0,1,2,2,1,6,2.002,1,2,2,1,5,2.304,1,2,3,1,5,2.294,1,2,3
ERD,FRM,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1
ERD,GUD,1,13,1.991,1,2,2,1,16,1.986,1,2,2,1,6,1.988,1,2,2,1,6,1.989,1,2,2,1,5,2.296,1,2,3,1,5,2.303,1,2,3
ERD,STP,2,13,3.028,2,3,3,2,19,3.582,2,3,4,2,10,2.808,2,3,3,2,10,3.123,2,3,4,2,4,3.117,2,3,4,2,4,2.998,2,3,4
FRM,SIE,2,25,3.876,2,3,5,2,14,3.261,2,3,4,2,16,3.452,2,3,4,2,12,2.99,2,3,3,2,6,3.363,2,3,4,2,6,3.3,2,3,4
FRM,GUD,2,22,4.002,2,3,5,2,19,3.304,2,3,4,2,15,3.531,2,3,4,2,12,2.99,2,3,3,2,6,3.452,2,3,4,2,6,3.317,2,3,4
FRM,STP,3,50,8.872,4,7,11,3,54,8.944,4,7,11,3,41,7.154,4,5,9,3,45,7.176,4,6,9,3,5,4.374,4,5,5,3,5,4.348,4,5,5
GUD,SIE,1,19,2.235,1,2,2,1,18,2.239,1,1,2,1,17,2.211,1,2,3,1,13,2.196,1,2,3,1,7,2.626,1,2,4,1,7,2.623,1,2,4
GUD,STP,2,15,3.226,2,3,4,2,26,3.931,2,3,5,2,11,2.995,2,3,3,2,15,3.485,2,3,4,2,6,3.299,2,3,4,2,6,3.373,2,3,4
BRE,SIE,1,16,1.983,1,2,2,1,20,1.998,1,1,2,1,6,1.994,1,2,2,1,6,1.989,1,2,2,1,5,2.292,1,2,3,1,5,2.298,1,2,3
BRE,ERD,1,10,1.753,1,2,2,1,9,1.742,1,1,2,1,3,1.802,1,2,2,1,3,1.803,1,2,2,1,3,1.998,1,2,3,1,3,1.997,1,2,3
BRE,FRM,2,15,3.033,2,3,4,2,16,3.527,2,3,4,2,10,2.794,2,3,3,2,12,3.113,2,3,4,2,4,3.139,2,3,4,2,4,3.02,2,3,4
BRE,GUD,1,20,1.985,1,2,2,1,15,2.012,1,1,2,1,6,1.992,1,2,2,1,6,2.008,1,2,2,1,5,2.308,1,2,3,1,5,2.303,1,2,3
BRE,STP,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1
